Unnamed: 0,Índice FipeZAP,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,,Venda,,,,,,,,,,,,,,,,,,,,Locação,,,,,,,,,,,,,,,,,,,,Rentabilidade do aluguel (rental yield),,,,,Venda,,,,Locação,,,,Rentabilidade do aluguel (rental yield)
,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,(% - mensalizada),,,,,Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),(% - mensalizada)
,Data,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,Total,Total,Total,Total,Total,Total,Total,Total
,2008-01-01 00:00:00,41.811068498625254,39.46608734046782,40.4504786751504,43.47947987197312,47.09431516626593,.,.,.,.,.,.,.,.,.,.,2225.730699843583,2412.4729287102236,1982.959587321983,2209.090843692177,2820.959562594174,70.8668233584297,70.12321158362684,68.82937223132902,72.068303289219,75.98386379665358,.,.,.,.,.,.,.,.,.,.,13.21272743151864,15.852867213969303,12.50362291917347,11.869525257650533,13.818422061259476,0.006443816867974957,0.00726090464396416,0.0066248916746547044,0.005955657515736289,0.005697593460673882,.,.,.,.,.,.,.,.,.
,2008-02-01 00:00:00,42.065077010020694,39.863723604465875,40.745336480892774,43.61147286438224,47.22228645853504,0.006075149966660093,0.010075391071015283,0.007289352694941276,0.0030357537118148397,0.002717340549858364,.,.,.,.,.,2239.252347630532,2436.7795369152163,1997.4140791337882,2215.7970994206516,2828.6250704031218,71.55287143379459,71.55272785282183,69.46287351718465,71.77909345641936,76.21907707518012,0.009680807504168746,0.020385778644638763,0.009203938163586356,-0.004012996277142896,0.00309556880597721,.,.,.,.,.,13.340637302388224,16.17604025587613,12.618705491342347,11.821892896980128,13.861197937540137,0.006484195952947009,0.007383746555592815,0.006650463510937141,0.005918623499892913,0.005713645926115553,.,.,.,.,.,.,.,.,.
,2008-03-01 00:00:00,42.506114495884376,40.46330251053231,41.29048599245621,43.90101504503212,47.42020525740707,0.010484647056716714,0.01504071501236441,0.013379433295858932,0.006639128688688368,0.004191215921868273,.,.,.,.,.,2262.7301181663624,2473.430443477919,2024.1383475697685,2230.5080615117276,2840.480448835191,74.22860250368524,77.86594611769922,71.50331358450607,72.55943817215194,76.81247335198151,0.03739515991844448,0.08823169226843702,0.02937454159331094,0.010871476333235864,0.007785403596741038,.,.,.,.,.,13.839512567724997,17.603279661854444,12.98937418065152,11.950414325823695,13.969112957818203,0.006655037527462186,0.007887475855976569,0.006747993255949845,0.00595364901839587,0.005740150931398514,.,.,.,.,.,.,.,.,.
,2008-04-01 00:00:00,43.090376888038406,41.23354509581621,41.872013176365705,44.475047145357806,47.75081427476724,0.013745372850077731,0.01903558378813527,0.014083805746818764,0.013075599726723097,0.006971901862624888,.,.,.,.,.,2293.83218729966,2520.5136359288676,2052.6459188616277,2259.673292111284,2860.2839997671745,75.43447128828088,78.88060071700959,72.14619681319824,74.24485700137566,77.65288210093217,0.0162453386420116,0.013030787525225136,0.008990957152389671,0.02322811300199082,0.010941045279190608,.,.,.,.,.,14.064340136028067,17.832664258875187,13.106161087346115,12.227999900204539,14.12194965519982,0.0066876188515812935,0.007862216046126042,0.006757700336294956,0.00601423960066629,0.005786666015177812,.,.,.,.,.,.,.,.,.
,2008-05-01 00:00:00,43.66682236804259,41.943743640855985,42.40593068836442,45.03303759976963,48.26624638110091,0.013377591973770898,0.01722380511764033,0.012751178448235671,0.012546146440005929,0.010794205589202702,.,.,.,.,.,2324.518138357657,2563.9264715904615,2078.819573264075,2288.0234841406823,2891.1584933041686,77.13043734117352,80.7200287472713,73.63103402156676,76.45072408839812,78.3360857594022,0.022482639885037757,0.02331914328163915,0.02058094915540829,0.02971070557764801,0.008798175160865281,.,.,.,.,.,14.38054363052707,18.248506711821264,13.375898322307377,12.591302405043026,14.246197041879189,0.006753094383034838,0.007882441133493727,0.006862852475925489,0.006109902268986355,0.0057821735843523415,.,.,.,.,.,.,.,.,.
,2008-06-01 00:00:00,44.31249165100063,42.689388398790925,43.03817682894492,45.60893657705369,48.894630230389495,0.014786266733953278,0.017777258136983103,0.014909380134273863,0.012788366230196456,0.013019115767300062,.,.,.,.,.,2358.889083579326,2609.5060543201694,2109.8134845124387,2317.2835663991636,2928.798820430108,76.8190602358537,76.96373696823629,73.27756913735799,78.18120199675053,79.21952947782326,-0.004037019833590374,-0.04653481716162039,-0.004800487850072038,0.022635206258498092,0.01127760865068537,.,.,.,.,.,14.32248909067282,17.39931578851406,13.31168748492734,12.876309132044296,14.406860076878052,0.006650631036873439,0.007438598510370518,0.006807233812999899,0.00615192693210845,0.005787145174239821,.,.,.,.,.,.,.,.,.
,2008-07-01 00:00:00,44.908595389006244,43.51543294649353,43.70075970217146,46.024893950254445,49.19961981684388,0.013452273067839547,0.019350114365330337,0.015395235626731488,0.009120084887268027,0.006237690826524103,.,.,.,.,.,2390.6215036683807,2660.0002949082864,2142.294560234963,2338.4173892325953,2947.067761965039,78.0509304008757,78.39899121937022,74.75584028090985,78.58031294400185,80.40318611075664,0.016035996291022876,0.018648448057119064,0.02017358328004665,0.005104947699165644,0.014941475173299619,.,.,.,.,.,14.552164472609062,17.723786025225575,13.580231921002476,12.942042016721672,14.622119819041927,0.006674762714823748,0.0074447064742906195,0.006856228027037795,0.006125342261833594,0.00582550498595912,.,.,.,.,.,.,.,.,.
